lr,epochs,pt,best_loss,train_scores
0.001,100,0,6.688097346341237e-05,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.001_100_0.csv
0.001,100,1,6.127863230176445e-07,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.001_100_1.csv
0.01,100,0,0.0007317724521271884,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.01_100_0.csv
0.01,100,1,0.0009629243868403137,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.01_100_1.csv
0.1,100,0,0.0005523902946151793,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.1_100_0.csv
0.1,100,1,0.0008829950238578022,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AegyptiXOutros_Pise\resnet50\ValidationScores_0.1_100_1.csv
