lr,epochs,pt,best_loss,train_scores
0.001,100,0,0.0017518626991659403,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.001_100_0.csv
0.001,100,1,0.0008640174055472016,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.001_100_1.csv
0.01,100,0,0.0019521752838045359,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.01_100_0.csv
0.01,100,1,0.0017347236862406135,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.01_100_1.csv
0.1,100,0,5.812776583496709e+23,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.1_100_0.csv
0.1,100,1,1.20008925274257e+24,C:\jp\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\vgg16\ValidationScores_0.1_100_1.csv
