lr,epochs,pt,best_loss,train_scores
0.001,50,0,5.451826291391626e-05,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.001_50_0.csv
0.001,100,0,8.787904334894847e-06,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.001_100_0.csv
0.001,100,1,1.5196887943602633e-06,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.001_100_1.csv
0.01,100,0,1.8802482372848317e-05,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.01_100_0.csv
0.01,100,1,0.00010810911771841347,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.01_100_1.csv
0.1,100,0,9.528529335511848e-05,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.1_100_0.csv
0.1,100,1,0.0019793289247900248,/mnt/batch/tasks/shared/LS_root/mounts/clusters/gpu/code/Users/joao.ortega1/MosquitoQuantification_TCC/scores/AedesXOutrosFemea_MotoX2/googlenet/ValidationScores_0.1_100_1.csv
