score,class
0.9878,1
1.0,1
0.0352,0
1.0,1
0.0088,0
0.9999,1
0.009,0
0.0115,0
1.0,1
1.0,1
0.9988,1
0.999,1
0.9892,1
1.0,1
0.0104,0
1.0,1
0.0147,0
1.0,1
0.0093,0
0.0155,0
0.0198,0
0.0095,0
0.4481,1
0.9988,1
0.3707,0
0.0087,0
1.0,1
0.0096,0
0.1956,1
0.0097,0
0.9806,1
0.0087,1
0.0118,0
1.0,1
0.8429,1
0.752,0
0.9557,1
0.0116,0
1.0,1
1.0,1
0.009,0
0.9639,1
0.0117,0
1.0,1
0.9999,1
1.0,1
0.0241,0
1.0,1
0.9975,1
0.0791,0
0.0094,0
0.0097,0
0.9991,1
0.0094,0
0.0142,0
0.0148,0
0.9908,1
1.0,1
0.0113,0
0.8296,0
0.9993,1
0.9996,1
0.0117,0
0.0136,0
0.0151,0
1.0,1
0.9416,1
0.0086,0
0.0104,0
0.1287,0
0.0118,0
0.1029,0
0.0093,0
0.9998,1
0.5559,0
0.0146,0
0.0227,0
0.015,0
0.0347,0
0.0116,0
1.0,1
0.127,0
0.0138,0
1.0,1
0.9999,1
0.9995,1
0.997,1
1.0,1
1.0,1
0.0153,0
1.0,1
0.0151,0
0.0096,0
0.0774,1
0.012,0
0.991,1
0.0152,0
0.0146,0
0.9986,1
0.2039,1
0.4716,1
0.0113,0
0.6318,1
0.9974,1
0.0101,0
0.0105,0
0.4996,0
0.0115,0
0.6055,1
1.0,1
0.0098,0
0.9974,1
1.0,1
0.0093,0
0.0891,0
0.9268,1
0.0145,0
0.0123,0
0.3585,0
0.9932,1
0.015,0
1.0,1
0.01,0
0.9992,1
0.0095,0
0.0111,0
1.0,1
0.0117,0
0.9986,1
0.4119,1
0.0151,0
0.0147,0
1.0,1
0.016,0
0.9998,1
0.009,0
0.5358,1
0.012,0
1.0,1
0.016,0
0.0091,0
0.0114,0
1.0,1
1.0,1
0.0119,0
0.2983,0
0.0093,0
0.0118,0
0.9997,1
0.0165,0
1.0,1
0.9985,1
0.9998,1
0.9451,0
0.8429,1
0.015,0
0.0195,0
1.0,1
0.9999,1
0.0148,0
0.6651,1
0.0168,1
0.0139,0
1.0,1
0.7727,1
