score,class
0.4351,0
0.4366,0
0.4365,0
0.4351,0
0.4369,0
0.4372,0
0.4363,0
0.4351,1
0.4361,1
0.4367,1
0.436,0
0.4348,0
0.4358,1
0.4352,0
0.4365,0
0.4361,1
0.4352,1
0.4365,0
0.4352,1
0.4351,0
0.4364,0
0.4367,1
0.4372,0
0.4361,0
0.4368,1
0.4371,1
0.4371,1
0.4351,0
0.4349,1
0.4349,0
0.4348,0
0.4369,0
0.4359,0
0.4373,0
0.4367,1
0.4349,1
0.4371,0
0.4371,0
0.4349,0
0.4349,1
0.4364,1
0.4359,1
0.4365,1
0.4373,1
0.4349,1
0.4372,1
0.4348,0
0.436,1
0.4372,1
0.4348,0
0.435,1
0.4368,1
0.4372,0
0.4373,1
0.4351,1
0.4349,1
0.4358,0
0.4373,1
0.4359,1
0.4368,0
0.4371,1
0.4348,0
0.4372,0
0.4357,1
0.4373,0
0.4374,0
0.4365,1
0.4351,0
0.436,0
0.4351,0
0.436,0
0.4367,1
0.4364,0
0.4348,1
0.4352,1
0.4371,1
0.4348,0
0.4372,1
0.4368,0
0.4351,1
0.4365,1
0.4351,0
0.437,0
0.4373,1
0.435,0
0.4372,0
0.4363,1
0.4371,1
0.4373,1
0.4364,1
0.4348,0
0.4365,0
0.4365,1
0.4349,0
0.4372,1
0.4372,0
0.4363,0
0.4351,0
0.4372,0
0.4361,1
0.4372,0
0.4366,1
0.4351,0
0.4351,1
0.4352,0
0.436,0
0.4371,0
0.4348,0
0.4352,0
0.435,1
0.4363,1
0.4372,1
0.4349,1
0.4362,1
0.435,0
0.4372,0
0.4367,1
0.4371,1
0.4372,0
0.4371,1
0.4371,1
0.4347,0
0.4372,0
0.4349,0
0.437,1
0.4349,1
0.4368,1
0.4351,0
0.4351,0
0.4351,0
0.4363,0
0.4361,0
0.437,0
0.4361,0
0.4372,1
0.4351,0
0.4372,1
0.4373,1
0.4372,0
0.4365,1
0.4369,0
0.4358,0
0.4352,0
0.437,0
0.4359,0
0.4361,1
0.4349,1
0.4372,1
0.4371,0
0.4365,1
0.4349,1
0.4348,0
0.4351,0
0.4361,1
0.4365,1
0.4351,1
0.4372,0
0.435,1
0.435,1
0.4374,1
0.4373,0
0.4371,1
0.437,1
0.4373,0
0.4362,1
0.4363,0
0.4348,0
0.4358,1
0.4366,1
0.435,1
0.4349,1
0.4371,1
0.4373,1
0.4371,0
0.4351,0
0.4364,0
0.4351,1
0.437,1
0.4367,1
0.4373,0
0.4363,1
0.4373,1
0.4372,1
0.436,0
0.4349,1
0.436,1
0.4373,0
0.437,0
0.4351,0
0.4371,1
0.4349,0
0.4366,1
0.4373,0
0.4371,0
0.4374,1
0.4352,0
0.4351,0
0.4371,1
0.4372,0
0.436,1
0.4358,1
0.436,1
0.4373,0
0.4349,1
0.4374,0
0.435,0
0.4353,1
0.4366,1
0.4351,0
0.4349,1
0.4372,0
0.4352,0
0.4348,1
0.4372,0
0.4372,1
0.4351,0
0.4349,1
0.4373,0
0.4365,1
0.4359,0
0.4358,1
0.4349,1
0.4373,1
0.4373,0
0.4373,1
0.4371,1
0.4348,0
0.4372,0
0.4351,0
0.4373,1
0.435,0
0.4366,0
0.4351,0
0.4353,1
0.4364,1
0.4351,0
0.435,0
0.436,1
0.4365,0
0.4353,0
0.4367,0
0.4349,0
0.4357,0
0.4371,0
0.4349,0
0.4365,1
0.435,1
0.4349,1
0.4372,0
0.4372,0
0.436,1
0.4366,0
0.4359,0
0.4348,0
0.4372,0
0.4373,0
0.4348,1
0.4365,0
0.4352,0
0.437,0
0.4365,0
0.4361,1
0.4365,1
0.4373,1
0.4357,0
0.4348,1
0.4369,0
0.4363,1
0.4371,0
0.4365,0
0.437,1
0.4372,1
0.4367,0
0.435,0
0.4373,0
0.4359,0
0.437,0
0.4359,0
0.4359,1
0.4365,1
0.4363,0
0.4372,0
0.4363,0
0.4353,1
0.4371,0
0.4372,1
0.4365,0
0.435,1
0.4358,0
0.4351,0
0.4363,0
0.4365,0
0.4372,0
0.4371,1
0.4352,1
0.4358,0
0.4353,1
0.4357,0
0.4373,1
0.4373,1
0.4369,1
0.4352,1
0.4364,1
0.4371,0
0.4372,0
0.4373,0
0.4371,0
0.4365,1
0.4373,0
0.437,1
0.4372,0
0.4348,0
0.4348,0
0.4366,0
0.4369,1
0.4363,1
0.4362,0
0.4367,1
0.436,1
0.4372,0
0.4365,0
0.4352,1
0.4371,0
0.4372,0
0.4373,1
0.4352,0
0.4361,0
0.437,0
0.4371,1
0.4371,0
0.4349,1
0.435,1
0.4362,1
0.4373,1
0.4352,0
0.4372,1
0.4348,0
0.4366,0
0.4364,0
0.4372,0
0.4373,1
0.4372,0
0.4349,1
0.4367,0
0.4358,1
0.4373,1
0.4371,0
0.4362,1
0.4351,0
0.4349,1
0.4365,0
0.4361,0
0.4365,1
0.4372,1
0.4348,1
0.4367,0
0.4358,1
0.4348,0
0.4372,1
0.4365,0
0.4363,1
0.435,1
0.4351,1
0.4364,0
0.4353,1
0.4363,1
0.4371,1
0.4372,1
0.4359,0
0.4351,0
0.4363,0
0.4359,0
0.4351,0
0.4373,1
0.4372,1
0.4372,1
0.4372,0
0.4364,0
0.4358,0
0.4372,0
0.4372,1
0.4371,0
0.4372,0
0.435,1
0.4351,1
0.4351,1
0.4371,0
0.4367,1
0.4369,1
0.4372,1
0.4372,0
0.4351,0
0.4372,0
0.4352,0
0.4371,0
0.4373,1
0.4349,1
0.4365,1
0.4372,1
0.4351,0
0.4363,0
0.4357,1
0.4348,0
0.4349,0
0.4368,1
0.4371,1
0.4371,1
0.4373,0
0.4349,1
0.4348,0
0.4365,0
0.4349,0
0.4358,1
0.4371,1
0.4372,0
0.4358,1
0.4361,1
0.4351,0
0.4374,1
0.4348,0
0.4358,0
0.4352,1
0.4363,0
0.4373,0
0.4371,0
0.4372,1
0.4351,0
0.4373,0
0.436,1
0.4359,0
0.4357,0
0.4373,1
0.4363,0
0.4371,1
0.4352,0
0.4351,0
0.437,1
0.4371,0
0.4348,0
0.4352,0
0.4372,1
0.4363,0
0.4357,1
0.4371,0
0.4371,0
0.4363,1
0.437,1
0.4373,1
0.4373,1
0.4367,0
0.4357,0
0.4349,1
0.4372,0
0.4351,0
0.4363,0
0.4372,1
0.4364,0
0.436,0
0.4364,1
0.4372,0
0.4358,0
0.4362,1
0.4373,0
0.4351,0
0.4351,1
0.4358,1
0.4351,0
0.4366,1
0.4365,1
0.4373,1
0.4372,1
0.437,1
0.4365,1
0.4349,0
0.4351,1
0.4372,0
0.4357,0
0.4373,0
0.4357,1
0.4349,1
0.4364,0
0.4368,1
0.4353,1
0.4369,1
0.4367,0
0.4373,0
0.4351,0
0.4373,1
0.437,1
0.4371,0
0.4363,1
0.4366,0
0.4366,0
0.4372,0
0.4372,0
0.436,1
0.4357,0
0.4373,1
0.4373,1
0.4351,0
0.4366,0
0.4349,1
0.4372,1
0.4365,1
0.4363,0
0.4358,1
0.4373,0
0.435,1
0.4349,0
0.4363,1
0.4365,1
0.4351,1
0.4372,0
0.4349,0
0.4371,0
0.435,0
0.4372,0
0.4372,0
0.4351,1
0.4372,0
0.4359,1
0.4363,0
0.4349,1
0.4371,0
0.4373,0
0.4359,0
0.4349,1
0.436,0
0.4348,1
0.4367,1
0.437,1
0.4373,1
0.4371,0
0.4373,1
0.4349,1
0.4353,1
0.4374,0
0.4372,0
0.4371,1
0.4371,0
0.4368,0
0.4368,0
0.4352,0
0.4372,0
0.4372,1
0.4358,1
0.4349,1
0.4373,0
0.4357,0
0.4371,0
0.4366,1
0.4358,0
0.435,0
0.4371,0
0.4352,0
0.4371,1
0.435,0
0.4374,1
0.4369,0
0.4372,1
0.4366,1
0.4352,1
0.4348,1
0.4359,1
0.4822,0
0.4822,1
0.4822,1
0.4822,1
0.4822,0
0.4822,0
0.4822,1
0.4822,1
0.4822,0
0.4822,0
0.4822,1
0.4822,1
0.4822,0
0.4822,1
0.4822,0
